BatteryLevel,"pTimeStamp,latitude,longitude,age,device_guid,accuracy,location_type,course,speed,altitude,BatteryLevel","2012-10-03T11:13:09.000-0400",accuracy,age,altitude,course,,,,,,,,,"device_guid",,"ip-10-34-107-159",main,latitude,1,"location_type",longitude,pTimeStamp,",,,,,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",speed,"ip-10-34-107-159",,none,
100,"9/26/2012 11:30:02 PM,-40.905377,174.98076,0,d02b97ee-9864-e05c-a7ec-3ce18151593d,30,GPS,-1,0,80,100","2012-09-26T23:30:02.000-0400",30,0,80,"-1",23,26,30,september,2,wednesday,2012,local,"d02b97ee-9864-e05c-a7ec-3ce18151593d",,"ip-10-34-107-159",main,"-40.905377",1,GPS,"174.98076","9/26/2012 11:30:02 PM","//_::_,-.,.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:27:46 PM,43.702946,-79.3784604,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,33,GPS,0,0,0,27","2012-09-26T23:27:46.000-0400",33,0,0,0,23,26,27,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.702946",1,GPS,"-79.3784604","9/26/2012 11:27:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
70,"9/26/2012 11:27:36 PM,40.954763,-74.067916,0,3d308e0d-3e83-7707-57c2-b607b2a64dce,65,GPS,-1,-1,29,70","2012-09-26T23:27:36.000-0400",65,0,29,"-1",23,26,27,september,36,wednesday,2012,local,"3d308e0d-3e83-7707-57c2-b607b2a64dce",,"ip-10-34-107-159",main,"40.954763",1,GPS,"-74.067916","9/26/2012 11:27:36 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
95,"9/26/2012 11:27:01 PM,40.669912,-73.676394,0,3efe0550-f9c5-14f3-3a12-7f80dac1990e,72,GPS,-1,-1,21,95","2012-09-26T23:27:01.000-0400",72,0,21,"-1",23,26,27,september,1,wednesday,2012,local,"3efe0550-f9c5-14f3-3a12-7f80dac1990e",,"ip-10-34-107-159",main,"40.669912",1,GPS,"-73.676394","9/26/2012 11:27:01 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
10,"9/26/2012 11:26:46 PM,35.777233,-78.875203,0,72bb3601-bb85-b5fd-7d98-64aefa0b8619,30,GPS,-1,0,133,10","2012-09-26T23:26:46.000-0400",30,0,133,"-1",23,26,26,september,46,wednesday,2012,local,"72bb3601-bb85-b5fd-7d98-64aefa0b8619",,"ip-10-34-107-159",main,"35.777233",1,GPS,"-78.875203","9/26/2012 11:26:46 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
40,"9/26/2012 11:26:25 PM,40.798657,-74.211175,0,afefafd1-2f95-049f-639a-a844a99a4b05,30,WIFI,0,0,0,40","2012-09-26T23:26:25.000-0400",30,0,0,0,23,26,26,september,25,wednesday,2012,local,"afefafd1-2f95-049f-639a-a844a99a4b05",,"ip-10-34-107-159",main,"40.798657",1,WIFI,"-74.211175","9/26/2012 11:26:25 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
50,"9/26/2012 11:26:09 PM,40.738721,-74.067511,0,b6546845-3253-3e9f-a992-344b96caebd2,65,GPS,-1,-1,41,50","2012-09-26T23:26:09.000-0400",65,0,41,"-1",23,26,26,september,9,wednesday,2012,local,"b6546845-3253-3e9f-a992-344b96caebd2",,"ip-10-34-107-159",main,"40.738721",1,GPS,"-74.067511","9/26/2012 11:26:09 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
100,"9/26/2012 11:23:59 PM,42.7536895,13.96583958,0,a31d94b5-a5bb-abfd-9100-20ed7a965775,30,WIFI,-1,-1,0,100","2012-09-26T23:23:59.000-0400",30,0,0,"-1",23,26,23,september,59,wednesday,2012,local,"a31d94b5-a5bb-abfd-9100-20ed7a965775",,"ip-10-34-107-159",main,"42.7536895",1,WIFI,"13.96583958","9/26/2012 11:23:59 PM","//_::_,.,.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
40,"9/26/2012 11:23:23 PM,51.603683,-0.379839,0,56164320-b244-fca4-9a99-0d6fb7d93f4a,30,GPS,-1,0,98,40","2012-09-26T23:23:23.000-0400",30,0,98,"-1",23,26,23,september,23,wednesday,2012,local,"56164320-b244-fca4-9a99-0d6fb7d93f4a",,"ip-10-34-107-159",main,"51.603683",1,GPS,"-0.379839","9/26/2012 11:23:23 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:22:46 PM,43.7030059,-79.3784754,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,24,GPS,0,0,0,27","2012-09-26T23:22:46.000-0400",24,0,0,0,23,26,22,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030059",1,GPS,"-79.3784754","9/26/2012 11:22:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
